Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,67.138458,67.715385,67.138458,67.615387,35.881767,384800
2010-01-05,67.5,67.5,66.569229,66.900002,35.502121,551300
2010-01-06,67.692307,68,67.46154,67.846153,36.004223,329400
2010-01-07,66.653847,66.884613,66.276924,66.784615,35.440887,277000
2010-01-08,66.45385,67.053848,66.253845,67.023079,35.567436,255000
2010-01-11,67.161537,67.246155,66.46154,67.07692,35.596012,272000
2010-01-12,67.176926,67.176926,66.192307,66.592308,35.33884,300000
2010-01-13,66.384613,66.715385,65.792305,66.615387,35.351086,277100
2010-01-14,65.96154,66.069229,65.392311,65.407692,34.710194,434900
2010-01-15,65.376923,65.42308,64.57692,65.053848,34.522411,403900
2010-01-19,65.238464,66.330772,64.792305,66.253845,35.159225,376600
2010-01-20,65.084618,65.084618,63.661537,64.300003,34.122375,418200
2010-01-21,63.723076,63.99231,62.307693,62.523075,33.179401,485600
2010-01-22,62.23077,62.676922,61.069229,61.092308,32.420128,435700
2010-01-25,62.284615,62.338463,61.430771,61.676922,32.73037,272700
2010-01-26,60.553844,60.807693,59.615383,60.146152,31.918026,491400
2010-01-27,60.792309,61.200001,60.176922,61.092308,32.420128,368600
2010-01-28,61.423077,61.46154,60.169231,60.446156,32.077232,345000
2010-01-29,60.861538,61.161537,59.638462,59.761539,31.713921,384500
2010-02-01,60.5,61.146152,60.469231,61.046154,32.395638,285600
2010-02-02,61.430771,62.069229,61.192307,61.930771,32.865082,339500
2010-02-03,61.530769,61.676922,60.661537,60.884617,32.309917,380200
2010-02-04,59.861538,59.892307,58,58,30.779116,707800
2010-02-05,57.5,57.684616,56.215385,57.599998,30.566837,548300
2010-02-08,57.030769,57.530769,56.423077,56.815384,30.150469,381800
2010-02-09,57.453846,58.569229,57.184616,58.069229,30.815853,572000
2010-02-10,58.076923,58.384617,57.423077,57.930771,30.742386,282400
2010-02-11,58.738461,59.392307,57.938461,59.238461,31.436342,436400
2010-02-12,57.707691,58.315384,57.253845,58.076923,30.819944,315100
2010-02-16,58.73077,59.261539,58.307693,59.161537,31.395517,182000
2010-02-17,59.515385,59.723076,58.923077,59.130768,31.379196,492500
2010-02-18,58.446156,59.238461,58.446156,58.923077,31.268976,417300
2010-02-19,58.123077,58.576923,57.707691,58.438461,31.011797,327700
2010-02-22,58.400002,58.900002,58.084614,58.169231,30.868927,266700
2010-02-23,58.638462,58.700001,57.599998,57.707691,30.623997,316500
2010-02-24,57.900002,58.607693,57.776924,58.384617,30.983225,230700
2010-02-25,57.26923,58.407692,56.938461,58.169231,30.868927,354600
2010-02-26,60.099998,60.953846,59.684616,60.907692,32.322163,625000
2010-03-01,60.923077,61.207691,60.553844,60.99231,32.367065,492700
2010-03-02,60.830769,61.353848,60.323078,60.830769,32.281345,477300
2010-03-03,60.930771,62,60.930771,61.715385,32.750782,577300
2010-03-04,60.799999,61.215385,60.092308,60.553844,32.134384,372000
2010-03-05,61.49231,62.030769,61.276924,62,32.901821,313900
2010-03-08,61.646152,62.26923,61.576923,61.846153,32.820175,215400
2010-03-09,61.630768,62.169231,61.107693,61.669231,32.72628,222600
2010-03-10,60.715385,61.515385,60.715385,61.46154,32.616077,584800
2010-03-11,61.353848,61.576923,60.669231,61.446156,32.607914,340900
2010-03-12,61.638462,61.761539,61.192307,61.438461,32.603825,197200
2010-03-15,61.146152,61.330769,60.576923,61.207691,32.481354,187900
2010-03-16,61.53846,62.053844,61.200001,61.946156,32.873245,191600
2010-03-17,62.584614,63.546154,62.484615,63.284615,33.58353,291800
2010-03-18,62.515385,62.723076,62.046154,62.430771,33.130424,190900
2010-03-19,61.815384,63.138462,61.815384,61.815384,32.803848,292600
2010-03-22,61.669231,62.361538,61.192307,62.292309,33.056946,252500
2010-03-23,62.353848,62.784615,61.707691,62.569229,33.203888,342800
2010-03-24,62.553844,62.561539,61.707691,62.00769,32.905899,270500
2010-03-25,61.846153,62.192307,60.915386,61.069229,32.407883,423000
2010-03-26,62.761539,63.384617,62.446156,63.338463,33.612106,684800
2010-03-29,63,63.384617,62.761539,62.969231,33.416168,278300
2010-03-30,62.792309,63.215385,62.561539,63.099998,33.485561,275900
2010-03-31,63.015385,63.476925,62.76923,63.261539,33.571281,176000
2010-04-01,64.869232,65.42308,64.838463,65.392311,34.702034,357500
2010-04-05,65.476921,66.584618,65.430771,66.5,35.289856,338200
2010-04-06,65.353844,66.230766,65.353844,66,35.024517,324800
2010-04-07,65.400002,65.407692,64.307693,64.553848,34.25708,409200
2010-04-08,63.753845,64.292305,63.369232,64.153847,34.044807,433200
2010-04-09,65.315384,66.04615,64.769234,66.04615,35.049007,473500
2010-04-12,65.146156,65.653847,65.069229,65.330772,34.66938,349900
2010-04-13,66.5,67.153847,66.338463,66.99231,35.551109,529100
2010-04-14,66.484619,67.45385,66.484619,67.230766,35.67765,256700
2010-04-15,65.838463,66.561539,65.661537,66.353844,35.212288,469600
