Effective date ,S&P 500 Carbon Efficient Index (USD),,,,,,,,
29.10.10,153.34,,,,,,,,
01.11.10,153.48,,,,,,,,
02.11.10,154.67,,,,,,,,
03.11.10,155.24,,,,,,,,
04.11.10,158.22,,,,,,,,
05.11.10,158.74,,,,,,,,
08.11.10,158.44,,,,,,,,
09.11.10,157.21,,,,,,,,
10.11.10,157.86,,,,,,,,
11.11.10,157.18,,,,,,,,
12.11.10,155.32,,,,,,,,
15.11.10,155.13,,,,,,,,
16.11.10,152.62,,,,,,,,
17.11.10,152.7,,,,,,,,
18.11.10,155.04,,,,,,,,
19.11.10,155.48,,,,,,,,
22.11.10,155.22,,,,,,,,
23.11.10,153.01,,,,,,,,
24.11.10,155.28,,,,,,,,
26.11.10,154.08,,,,,,,,
29.11.10,153.87,,,,,,,,
30.11.10,152.91,,,,,,,,
01.12.10,156.24,,,,,,,,
02.12.10,158.23,,,,,,,,
03.12.10,158.67,,,,,,,,
06.12.10,158.45,,,,,,,,
07.12.10,158.52,,,,,,,,
08.12.10,159.13,,,,,,,,
09.12.10,159.72,,,,,,,,
10.12.10,160.66,,,,,,,,
13.12.10,160.69,,,,,,,,
14.12.10,160.86,,,,,,,,
15.12.10,160.04,,,,,,,,
16.12.10,161.04,,,,,,,,
17.12.10,161.18,,,,,,,,
20.12.10,161.58,,,,,,,,
21.12.10,162.48,,,,,,,,
22.12.10,163.08,,,,,,,,
23.12.10,162.84,,,,,,,,
27.12.10,162.9,,,,,,,,
28.12.10,163.05,,,,,,,,
29.12.10,163.26,,,,,,,,
30.12.10,163.01,,,,,,,,
31.12.10,162.99,,,,,,,,
03.01.11,164.73,,,,,,,,
04.01.11,164.46,,,,,,,,
05.01.11,165.21,,,,,,,,
06.01.11,164.82,,,,,,,,
07.01.11,164.52,,,,,,,,
10.01.11,164.24,,,,,,,,
11.01.11,164.9,,,,,,,,
12.01.11,166.36,,,,,,,,
13.01.11,166.05,,,,,,,,
14.01.11,167.31,,,,,,,,
18.01.11,167.54,,,,,,,,
19.01.11,165.91,,,,,,,,
20.01.11,165.81,,,,,,,,
21.01.11,166.15,,,,,,,,
24.01.11,167.14,,,,,,,,
25.01.11,167.22,,,,,,,,
26.01.11,168.03,,,,,,,,
27.01.11,168.3,,,,,,,,
28.01.11,165.39,,,,,,,,
31.01.11,166.64,,,,,,,,
01.02.11,169.32,,,,,,,,
02.02.11,168.85,,,,,,,,
03.02.11,169.29,,,,,,,,
04.02.11,169.74,,,,,,,,
07.02.11,170.79,,,,,,,,
08.02.11,171.49,,,,,,,,
09.02.11,171.01,,,,,,,,
10.02.11,171.1,,,,,,,,
11.02.11,171.91,,,,,,,,
14.02.11,172.28,,,,,,,,
15.02.11,171.78,,,,,,,,
16.02.11,172.9,,,,,,,,
17.02.11,173.45,,,,,,,,
18.02.11,173.87,,,,,,,,
22.02.11,170.41,,,,,,,,
23.02.11,169.43,,,,,,,,
24.02.11,169.17,,,,,,,,
25.02.11,170.97,,,,,,,,
28.02.11,171.88,,,,,,,,
01.03.11,169.29,,,,,,,,
02.03.11,169.49,,,,,,,,
03.03.11,172.36,,,,,,,,
04.03.11,171.14,,,,,,,,
07.03.11,169.72,,,,,,,,
08.03.11,171.18,,,,,,,,
09.03.11,171,,,,,,,,
10.03.11,167.81,,,,,,,,
11.03.11,168.95,,,,,,,,
14.03.11,167.88,,,,,,,,
15.03.11,166.03,,,,,,,,
16.03.11,162.79,,,,,,,,
17.03.11,164.95,,,,,,,,
18.03.11,165.59,,,,,,,,
21.03.11,168.17,,,,,,,,
22.03.11,167.61,,,,,,,,
23.03.11,168.1,,,,,,,,
24.03.11,169.7,,,,,,,,
25.03.11,170.17,,,,,,,,
28.03.11,169.84,,,,,,,,
29.03.11,171.09,,,,,,,,
30.03.11,172.18,,,,,,,,
31.03.11,171.93,,,,,,,,
01.04.11,172.77,,,,,,,,
04.04.11,172.85,,,,,,,,
05.04.11,172.86,,,,,,,,
06.04.11,173.27,,,,,,,,
07.04.11,172.99,,,,,,,,
08.04.11,172.26,,,,,,,,
11.04.11,171.77,,,,,,,,
12.04.11,170.4,,,,,,,,
13.04.11,170.42,,,,,,,,
14.04.11,170.39,,,,,,,,
15.04.11,171.02,,,,,,,,
18.04.11,169.15,,,,,,,,
19.04.11,170.15,,,,,,,,
20.04.11,172.51,,,,,,,,
21.04.11,173.47,,,,,,,,
25.04.11,173.18,,,,,,,,
26.04.11,174.67,,,,,,,,
27.04.11,175.76,,,,,,,,
28.04.11,176.43,,,,,,,,
29.04.11,176.78,,,,,,,,
02.05.11,176.43,,,,,,,,
03.05.11,175.9,,,,,,,,
04.05.11,174.69,,,,,,,,
05.05.11,173.14,,,,,,,,
06.05.11,173.74,,,,,,,,
09.05.11,174.53,,,,,,,,
10.05.11,175.95,,,,,,,,
11.05.11,174.07,,,,,,,,
12.05.11,174.93,,,,,,,,
13.05.11,173.48,,,,,,,,
16.05.11,172.38,,,,,,,,
17.05.11,172.3,,,,,,,,
18.05.11,173.84,,,,,,,,
19.05.11,174.27,,,,,,,,
20.05.11,172.91,,,,,,,,
23.05.11,170.8,,,,,,,,
24.05.11,170.68,,,,,,,,
25.05.11,171.26,,,,,,,,
26.05.11,171.96,,,,,,,,
27.05.11,172.6,,,,,,,,
31.05.11,174.45,,,,,,,,
01.06.11,170.5,,,,,,,,
02.06.11,170.36,,,,,,,,
03.06.11,168.74,,,,,,,,
06.06.11,166.87,,,,,,,,
07.06.11,166.69,,,,,,,,
08.06.11,165.98,,,,,,,,
09.06.11,167.25,,,,,,,,
10.06.11,164.87,,,,,,,,
13.06.11,164.95,,,,,,,,
14.06.11,167.11,,,,,,,,
15.06.11,164.18,,,,,,,,
16.06.11,164.41,,,,,,,,
17.06.11,164.91,,,,,,,,
20.06.11,165.77,,,,,,,,
21.06.11,167.99,,,,,,,,
22.06.11,166.87,,,,,,,,
23.06.11,166.43,,,,,,,,
24.06.11,164.39,,,,,,,,
27.06.11,165.9,,,,,,,,
28.06.11,168.1,,,,,,,,
29.06.11,169.54,,,,,,,,
30.06.11,171.29,,,,,,,,
01.07.11,173.77,,,,,,,,
05.07.11,173.61,,,,,,,,
06.07.11,173.86,,,,,,,,
07.07.11,175.74,,,,,,,,
08.07.11,174.53,,,,,,,,
11.07.11,171.34,,,,,,,,
12.07.11,170.48,,,,,,,,
13.07.11,171.03,,,,,,,,
14.07.11,169.81,,,,,,,,
15.07.11,170.79,,,,,,,,
18.07.11,169.42,,,,,,,,
19.07.11,172.27,,,,,,,,
20.07.11,172.15,,,,,,,,
21.07.11,174.67,,,,,,,,
22.07.11,175.05,,,,,,,,
25.07.11,174.16,,,,,,,,
26.07.11,173.46,,,,,,,,
27.07.11,169.89,,,,,,,,
28.07.11,169.44,,,,,,,,
29.07.11,168.32,,,,,,,,
01.08.11,167.58,,,,,,,,
