Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,38.700001,38.700001,36,36.799999,35.238708,417927786
2019-12-15,37.099998,37.5,36.799999,37.400002,35.813248,81280398
2019-12-16,37.5,38.099998,37.5,38,36.387791,87581742
2019-12-17,38.049999,38.150002,37.5,37.75,36.148399,117910947
2019-12-18,37.5,37.599998,36.700001,36.700001,35.142948,69274894
2019-12-19,36.700001,36.75,35.5,35.5,33.993862,89355535
2019-12-22,35.599998,35.700001,34.900002,35.299999,33.802341,32818159
2019-12-23,35.299999,35.650002,35.25,35.599998,34.089615,29006686
2019-12-24,35.650002,35.700001,35.299999,35.400002,33.898102,18334164
2019-12-25,35.400002,35.400002,35.099998,35.200001,33.706589,11217138
2019-12-26,35.150002,35.349998,35.049999,35.349998,33.85022,11457225
2019-12-29,35.299999,35.700001,35.299999,35.400002,33.898102,18980736
2019-12-30,35.400002,35.450001,35.150002,35.150002,33.658707,10865390
2019-12-31,35.150002,35.25,35.049999,35.25,33.754467,13498159
2020-01-01,35.25,35.25,35.049999,35.099998,33.610828,7039126
2020-01-02,35.099998,35.25,35.049999,35.150002,33.658707,9446896
2020-01-05,35,35,34.5,34.549999,33.084164,20858781
2020-01-06,34.5,34.549999,34.049999,34.5,33.036282,19340360
2020-01-07,34.450001,34.549999,34.150002,34.349998,32.892647,11506674
2020-01-08,34,34.200001,34,34.200001,32.749012,18306181
2020-01-09,34.349998,35.049999,34.299999,35,33.515072,25876760
2020-01-12,35,35.150002,34.549999,34.799999,33.323559,20317878
2020-01-13,34.799999,35,34.700001,34.75,33.275677,14031548
2020-01-14,34.75,34.849998,34.400002,34.849998,33.371433,10312313
2020-01-15,34.799999,34.799999,34.599998,34.700001,33.227802,10733248
2020-01-16,34.700001,34.700001,34.5,34.599998,33.132042,9523947
2020-01-19,34.599998,34.599998,34.25,34.349998,32.892647,10954327
2020-01-20,34.299999,34.599998,34.200001,34.599998,33.132042,7236427
2020-01-21,34.5,34.599998,34.349998,34.549999,33.084164,7039244
2020-01-22,34.450001,34.5,34.349998,34.450001,32.988407,5136985
2020-01-23,34.400002,34.450001,34.25,34.450001,32.988407,5944160
2020-01-26,34.200001,34.349998,34.049999,34.299999,32.844769,7650532
2020-01-27,34.25,34.25,34.049999,34.25,32.796894,7238658
