Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,65.82,66.080002,65.629997,65.879997,35.146599,1805100
2010-01-05,66.019997,66.309998,65.620003,66.029999,35.226627,1299500
2010-01-06,65.690002,66.32,65.650002,66.010002,35.215965,1561100
2010-01-07,65.690002,65.949997,65.339996,65.860001,35.135941,1074900
2010-01-08,65.629997,66.260002,65.440002,66.260002,35.349335,1284300
2010-01-11,67.440002,67.519997,67,67.25,35.877499,1245700
2010-01-12,65.800003,66.470001,65.699997,66.07,35.247974,926900
2010-01-13,65.910004,66,65.019997,65.75,35.077248,1414300
2010-01-14,64.809998,65.269997,64.720001,65.099998,34.730476,1234400
2010-01-15,64.120003,64.169998,62.959999,63.41,33.828876,2286800
2010-01-19,63.66,64.959999,63.66,64.900002,34.623787,1409400
2010-01-20,63.169998,63.34,62.32,63,33.610138,1908600
2010-01-21,63.41,63.639999,61.139999,61.299999,32.703209,2609200
2010-01-22,61,61.330002,60.110001,60.130001,32.079014,1919700
2010-01-25,60.759998,60.919998,60.209999,60.419998,32.23373,1242900
2010-01-26,59.580002,60.75,59.419998,60.130001,32.079014,1558400
2010-01-27,59.509998,59.75,58.959999,59.669998,31.833616,2078300
2010-01-28,59.169998,59.18,57.5,58.02,30.953341,2874800
2010-01-29,58.830002,59.139999,57.380001,57.59,30.723946,2818400
2010-02-01,58.48,59,58.43,58.98,31.465498,1514200
2010-02-02,58.509998,59.599998,58.290001,59.470001,31.726917,1718800
2010-02-03,59.259998,59.529999,58.68,58.869999,31.406811,1254100
2010-02-04,58.279999,58.330002,56.84,56.900002,30.355825,2750500
2010-02-05,55.610001,55.860001,54.009998,55.330002,29.518242,5483100
2010-02-08,55.459999,56.23,55.080002,55.169998,29.432886,2537000
2010-02-09,55.66,56.73,55.200001,56.029999,29.891684,3154300
2010-02-10,56.470001,56.68,55.630001,56.009998,29.881006,3440600
2010-02-11,56.66,57.549999,56.07,57.419998,30.63324,2927700
2010-02-12,56.68,57.080002,56.419998,56.939999,30.377157,5419400
2010-02-16,57.130001,58.66,57.02,58.509998,31.214758,3466900
2010-02-17,58.470001,58.700001,57.84,58.200001,31.049376,2057600
2010-02-18,58.049999,58.810001,57.990002,58.75,31.342787,1734900
2010-02-19,57.52,58.5,57.290001,58.25,31.076048,2993800
2010-02-22,58.43,58.5,57.810001,58.060001,30.974682,2350200
2010-02-23,57.439999,57.580002,56.5,56.630001,30.21179,2609000
2010-02-24,56.639999,57.040001,56.130001,56.419998,30.099751,3399900
2010-02-25,54.790001,55.419998,54.450001,55.380001,29.54491,4412300
2010-02-26,54.950001,56.029999,54.610001,55.66,29.694296,2581500
2010-03-01,55.810001,56.130001,55.439999,55.959999,29.854345,2850500
2010-03-02,56.130001,56.619999,55.990002,56.369999,30.073069,1429400
2010-03-03,57.009998,57.470001,56.759998,56.869999,30.339825,2330100
2010-03-04,56.919998,57.02,56.09,56.41,30.094406,1934500
2010-03-05,57.119999,57.82,56.939999,57.810001,30.841307,3104800
2010-03-08,58.07,58.209999,57.41,57.619999,30.739939,2015800
2010-03-09,57.459999,57.939999,57.43,57.790001,30.830631,2019500
2010-03-10,58.439999,58.959999,58.02,58.259998,31.081381,2773400
2010-03-11,58.360001,58.709999,57.639999,58.689999,31.310785,1852400
2010-03-12,59.040001,59.049999,58.349998,58.450001,31.182743,1923700
2010-03-15,58.27,58.279999,57.57,58.049999,30.969345,2320900
2010-03-16,58.439999,58.869999,58.189999,58.599998,31.262762,1713800
2010-03-17,58.82,59.110001,58.669998,58.869999,31.406811,1897300
2010-03-18,58.310001,58.389999,57.5,58.080002,30.985353,1578700
2010-03-19,57.32,58.029999,56.75,57.32,30.579897,1941200
2010-03-22,56.389999,57.470001,56.360001,57.310001,30.57456,2441400
2010-03-23,57.389999,57.759998,57.130001,57.52,30.686586,2218600
2010-03-24,56.389999,56.66,56,56.490002,30.137094,2634900
2010-03-25,56.93,57.200001,56.259998,56.259998,30.014393,2207100
2010-03-26,56.889999,57.459999,56.669998,57.060001,30.441191,3502400
2010-03-29,56.810001,57.619999,56.799999,57.529999,30.691933,2872400
2010-03-30,58.040001,58.139999,57.310001,57.689999,30.777292,1944800
2010-03-31,57.830002,58.259998,57.52,58.02,30.953341,2288400
2010-04-01,58.77,59.349998,58.759998,59.349998,31.662884,1773800
2010-04-05,59.759998,60.240002,59.599998,59.889999,31.950985,1645700
2010-04-06,59.130001,59.75,59.02,59.59,31.790926,2117100
2010-04-07,58.939999,59.009998,58.040001,58.240002,31.070702,3997600
2010-04-08,57.970001,58.580002,57.720001,58.549999,31.23609,2421900
2010-04-09,58.880001,59.849998,58.860001,59.810001,31.908297,1654800
2010-04-12,59.57,60.099998,59.439999,59.509998,31.748247,1602100
2010-04-13,59.529999,59.549999,58.720001,58.98,31.465498,2098400
2010-04-14,59.419998,59.630001,59.02,59.439999,31.710903,1446200
2010-04-15,59.630001,59.66,59.200001,59.41,31.694897,1268800
2010-04-16,58.970001,59.279999,57.669998,58.25,31.076048,2526100
2010-04-19,57.389999,58.099998,57.32,58.09,30.990685,1262100
2010-04-20,58.889999,59.200001,58.700001,59.07,31.5135,2846500
2010-04-21,58.32,58.459999,57.57,57.889999,30.88398,3062100
2010-04-22,56.599998,57.07,56.27,57.040001,30.430523,3418100
2010-04-23,56.540001,57.540001,56.299999,57.540001,30.697264,1785200
2010-04-26,57.360001,57.529999,56.700001,56.970001,30.393171,3780800
2010-04-27,56.32,57.049999,54.799999,54.919998,29.299505,4630400
2010-04-28,55.130001,55.23,53.91,54.5,29.075441,6542500
2010-04-29,55.48,56.09,55.119999,55.740002,29.736975,3948100
2010-04-30,54.490002,54.970001,53.799999,54.380001,29.011423,3828900
2010-05-03,54,54.68,54,54.09,28.856707,3892100
2010-05-04,52.68,52.68,51.27,51.860001,27.667021,5979700
2010-05-05,50.439999,51.310001,50.110001,50.84,27.122852,6417900
2010-05-06,49.450001,50.02,46.240002,48.720001,25.99185,10719000
2010-05-07,48.169998,48.75,46.25,47.709999,25.453014,10663100
2010-05-10,51.139999,51.799999,50.650002,51.459999,27.453619,6305600
2010-05-11,50.130001,51.389999,50.009998,50.529999,26.957464,4898700
2010-05-12,50.540001,51.139999,50.400002,50.98,27.197542,5343300
2010-05-13,49.990002,50.919998,49.810001,50.139999,26.749401,6387700
2010-05-14,49.099998,49.259998,47.27,48.110001,25.66641,11057700
2010-05-17,47.990002,48.330002,47,48.150002,25.687748,8067900
2010-05-18,49.130001,49.200001,47.290001,47.439999,25.308968,5913800
2010-05-19,47.610001,48.080002,46.970001,47.939999,25.575718,5264800
2010-05-20,46.34,47.400002,45.5,46.450001,24.780813,6462800
2010-05-21,46.119999,47.689999,45.950001,47.57,25.378326,5498300
2010-05-24,45.439999,45.73,45.02,45.130001,24.884277,5463500
2010-05-25,43.32,45.5,43.07,45.450001,25.06073,8506000
2010-05-26,45.299999,45.73,44.139999,44.209999,24.376999,5107900
2010-05-27,46.110001,47.84,45.880001,47.84,26.378546,5922200
2010-05-28,47.380001,47.450001,46.470001,46.630001,25.711357,4657100
