Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,58.349998,58.549999,58.259998,58.5,30.725355,112000
2010-01-05,59.130001,59.349998,58.599998,59.189999,31.087757,52200
2010-01-06,58.040001,59.25,58.040001,59,30.987963,56200
2010-01-07,58.43,58.599998,58,58.459999,30.704342,58600
2010-01-08,57.849998,58.799999,57.57,58.799999,30.882923,74800
2010-01-11,59.700001,59.950001,59.009998,59.549999,31.276827,282000
2010-01-12,57.900002,58.450001,57.75,57.950001,30.436483,77300
2010-01-13,58.400002,58.5,57.349998,58.150002,30.541527,114000
2010-01-14,57.950001,58.810001,57.950001,58.599998,30.777876,85700
2010-01-15,59.009998,59.009998,58.150002,58.349998,30.646566,14200
2010-01-19,58.849998,59.700001,58.57,59.650002,31.329353,73900
2010-01-20,58.549999,59,57.650002,58.200001,30.567787,88900
2010-01-21,57.849998,58,56,56.349998,29.596127,194800
2010-01-22,55.450001,56.669998,54.700001,54.950001,28.860825,151000
2010-01-25,55.950001,55.950001,55,55.5,29.149693,102300
2010-01-26,53.599998,54.189999,53.470001,53.650002,28.178036,138700
2010-01-27,54.349998,54.610001,53.450001,54.009998,28.367113,117300
2010-01-28,55.299999,55.349998,53.900002,54.150002,28.440647,140400
2010-01-29,55.150002,55.599998,54.450001,54.900002,28.834555,186200
2010-02-01,54.66,56.200001,54.66,56.060001,29.443815,76900
2010-02-02,56.349998,57.599998,56.189999,57.549999,30.226395,215400
2010-02-03,56.900002,57.110001,56.349998,56.599998,29.727434,19700
2010-02-04,55,55.110001,53.5,53.5,28.099251,67400
2010-02-05,53.150002,53.349998,52,53.099998,27.889166,82900
2010-02-08,52.700001,52.700001,51.419998,52,27.311422,210000
2010-02-09,52.75,53.25,52.290001,53.150002,27.915424,107100
2010-02-10,52.5,52.700001,51.450001,52.049999,27.337687,186100
2010-02-11,51.549999,52.5,51.290001,52.25,27.442722,118400
2010-02-12,50.43,51.099998,50.09,50.599998,26.576111,90000
2010-02-16,52.400002,53.200001,52.09,53,27.836643,265200
2010-02-17,52.830002,52.830002,51.849998,52,27.311422,70700
2010-02-18,52.099998,52.849998,51.889999,52.849998,27.757858,27300
2010-02-19,52.439999,53.049999,52.25,52.849998,27.757858,100400
2010-02-22,53.799999,54.150002,53.209999,53.75,28.230556,52400
2010-02-23,52.529999,52.689999,51.599998,51.599998,27.101332,99700
2010-02-24,52.110001,52.400002,51.490002,52.25,27.442722,211100
2010-02-25,50.950001,51.799999,50.75,51.75,27.180124,71500
2010-02-26,52.43,53.25,51.900002,53.189999,27.936428,59700
2010-03-01,52.950001,53.549999,52.700001,53.549999,28.125513,128400
2010-03-02,53.73,54.849998,53.700001,54,28.361866,131300
2010-03-03,54.439999,54.849998,54.200001,54.52,28.634975,218400
2010-03-04,55.150002,55.310001,54.099998,54.599998,28.677,64100
2010-03-05,55.130001,55.349998,54.799999,54.849998,28.808298,256900
2010-03-08,55.029999,55.110001,54.549999,54.549999,28.650736,127800
2010-03-09,53.860001,54.220001,53.75,53.950001,28.335602,51800
2010-03-10,53.529999,53.75,53.009998,53.25,27.967953,70000
2010-03-11,53.5,53.950001,53,53.950001,28.335602,118700
2010-03-12,54.799999,54.93,54.200001,54.25,28.49317,78800
2010-03-15,54.529999,54.529999,53.849998,53.900002,28.309341,88500
2010-03-16,55.07,56,54.950001,56,29.41231,132600
2010-03-17,57.880001,58.150002,57,57.900002,30.410227,1151600
2010-03-18,58.560001,59,58,58.09,30.510015,545800
2010-03-19,58.099998,58.200001,57.09,57.299999,30.095087,334600
2010-03-22,55.970001,57.450001,55.970001,57.450001,30.173872,39200
2010-03-23,57.419998,57.419998,55.799999,56.290001,29.564613,28200
2010-03-24,55.91,55.93,55.049999,55.259998,29.023642,88300
2010-03-25,55.400002,55.419998,54.459999,55.049999,28.913351,191400
2010-03-26,55.299999,56,54.25,55.349998,29.070913,16000
2010-03-29,55.73,56.849998,55.73,56.849998,29.858738,103600
2010-03-30,56.720001,56.720001,55.950001,56,29.41231,24300
2010-03-31,56.59,56.950001,56.400002,56.700001,29.779959,105100
2010-04-01,57.5,57.950001,57.490002,57.900002,30.410227,82700
2010-04-05,57.950001,59.150002,57.950001,59.009998,30.993212,66700
